10.55.173.129 cjy9-mm-5gdmc-1301-S11-GTP-C-signet
10.55.173.128 cjy9-mm-5gdmc-1301-S10-GTP-C-signet
10.55.173.130 cjy9-mm-5gdmc-1301-Gn-GTP-C-signet
10.55.173.131 cjy9-mm-5gdmc-1301-DNS-signet
173.102.129.104 cjy9-mm-5gdmc-1301-S1-MME-1-s1net
173.102.129.105 cjy9-mm-5gdmc-1301-S1-MME-2-s1net
173.102.129.106 cjy9-mm-5gdmc-1301-S1-MMEb-1-s1net
173.102.129.107 cjy9-mm-5gdmc-1301-S1-MMEb-2-s1net
10.55.173.132 cjy9-mm-5gdmc-1301-S6a-1-signet
10.55.173.133 cjy9-mm-5gdmc-1301-S6a-2-signet
10.55.173.132 cjy9-mm-5gdmc-1301-T6a-1-signet
10.55.173.133 cjy9-mm-5gdmc-1301-T6a-2-signet
10.87.85.204 cjy9-mm-5gdmc-1301-LI-C-limgmt
10.87.82.179 cjy9-mm-5gdmc-1301-LI-I-lidata
10.55.173.134 cjy9-mm-5gdmc-1301-SLg-1-signet
10.55.173.135 cjy9-mm-5gdmc-1301-SLg-2-signet
10.55.173.136 cjy9-mm-5gdmc-1301-SLs-1-signet
10.55.173.137 cjy9-mm-5gdmc-1301-SLs-2-signet
10.55.173.138 cjy9-mm-5gdmc-1301-SGs-1-signet
10.55.173.139 cjy9-mm-5gdmc-1301-SGs-2-signet
10.55.173.140 cjy9-mm-5gdmc-1301-Sv-GTP-C-signet
173.102.129.108 cjy9-mm-5gdmc-1301-N2-1-s1net
173.102.129.109 cjy9-mm-5gdmc-1301-N2-2-s1net
10.55.173.141 cjy9-mm-5gdmc-1301-SBI-Client-signet
10.55.173.141 cjy9-mm-5gdmc-1301-SBI-Server-signet
10.13.23.48 exy9-mm-5gdmc-1401-CTUM-opnet
10.13.23.48 exy9-mm-5gdmc-1401-OAM-opnet
10.55.210.49 exy9-mm-5gdmc-1401-S11-GTP-C-signet
10.55.210.48 exy9-mm-5gdmc-1401-S10-GTP-C-signet
10.55.210.50 exy9-mm-5gdmc-1401-Gn-GTP-C-signet
10.55.210.51 exy9-mm-5gdmc-1401-DNS-signet
173.101.128.0 exy9-mm-5gdmc-1401-S1-MME-1-s1net
173.101.128.1 exy9-mm-5gdmc-1401-S1-MME-2-s1net
173.101.128.2 exy9-mm-5gdmc-1401-S1-MMEb-1-s1net
173.101.128.3 exy9-mm-5gdmc-1401-S1-MMEb-2-s1net
10.55.210.52 exy9-mm-5gdmc-1401-S6a-1-signet
10.55.210.53 exy9-mm-5gdmc-1401-S6a-2-signet
10.55.210.52 exy9-mm-5gdmc-1401-T6a-1-signet
10.55.210.53 exy9-mm-5gdmc-1401-T6a-2-signet
